Boundary,Latitude,Longitude
Bagong Lipunan,11.2843,124.6987
Balilit,11.2874,124.695
Barayong,11.2682,124.6722
Barugohay Central,11.296,124.6986
Barugohay Norte,11.3029,124.705
Barugohay Sur,11.272,124.6994
Baybay,11.3011,124.6889
Binibihan,11.2334,124.7336
Bislig,11.2923,124.6769
Caghalo,11.2611,124.6676
Camansi,11.2188,124.7159
Canal,11.2878,124.6826
Candigahub,11.2501,124.7007
Canfabi,11.2654,124.7092
Canlampay,11.2649,124.6848
Cogon,11.2577,124.7365
Cutay,11.2649,124.6987
East Visoria,11.3017,124.6826
Guindapunan East,11.3037,124.7004
Guindapunan West,11.3026,124.698
Hiluctogan,11.2471,124.6877
Jugaban,11.3007,124.6934
Libo ,11.2671,124.6809
Lower Hiraan,11.2795,124.6786
Lower Sogod ,11.2572,124.6903
Macalpi,11.2126,124.7332
Manloy,11.27,124.6636
Nauguisan,11.2955,124.6637
Paglaum,11.2045,124.7188
Pangna ,11.2798,124.7101
Parag?um,11.2575,124.7279
Parina,11.2979,124.7121
Piloro,11.2365,124.7205
Ponong,11.2977,124.6829
Rizal,11.2867,124.7172
Sagkahan,11.2799,124.726
San Isidro,11.2054,124.7082
San Juan,11.2888,124.6611
Santa Fe,11.2567,124.7151
Sawang,11.2993,124.6895
Tagak,11.2891,124.7122
Tangnan,11.2982,124.6713
Tigbao,11.2379,124.7132
Tinaguban,11.2382,124.7018
Upper Hiraan,11.2648,124.6759
Upper Sogod,11.2536,124.6931
Uyawan,11.2841,124.6844
West Visoria,11.2991,124.6769
